20230730-113324-6658 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1522> to <0,1522>
20230730-113324-6659 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,1522> to <0,1522>
20230730-113327-1030 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,8558> to <0,8558>
20230730-113327-1031 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,8558> to <0,8558>
20230730-113327-9260 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,10594> to <0,10595>
20230730-113328-4666 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,12527> to <0,12529>
20230730-113328-4669 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,12528> to <0,12530>
20230730-113335-5609 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113335-5629 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113335-6261 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113335-8325 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113346-5568 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113347-2339 00092 * HandleRequest   (replica.cc:447):   [0] Received duplicate request; resending reply
20230730-113349-3887 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,62348> to <0,62348>
20230730-113350-0153 00092 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,62348> to <0,62348>
20230730-113350-0207 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113350-0209 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113350-0210 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113350-0211 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 104
20230730-113350-0212 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 105
20230730-113350-0213 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 106
20230730-113350-0214 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 107
20230730-113350-0216 00092 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 108
