20230730-113315-8722 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,2492> to <0,2493>
20230730-113315-8725 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,2494> to <0,2494>
20230730-113315-9913 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,3966>
20230730-113315-9915 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,3966> to <0,3966>
20230730-113315-9916 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,3967>
20230730-113315-9918 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,3967> to <0,3968>
20230730-113315-9991 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4068>
20230730-113315-9994 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4069>
20230730-113315-9997 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4071>
20230730-113316-0429 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4608> to <0,4608>
20230730-113316-0431 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4609> to <0,4609>
20230730-113316-0432 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4610> to <0,4610>
20230730-113316-0704 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4968>
20230730-113316-0705 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4968> to <0,4968>
20230730-113316-0705 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4969>
20230730-113316-0706 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4970>
20230730-113316-0707 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4969> to <0,4970>
20230730-113316-0708 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4970> to <0,4971>
20230730-113316-0721 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4987>
20230730-113316-0721 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4988>
20230730-113316-0722 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4988> to <0,4988>
20230730-113316-0722 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,4989>
20230730-113316-0723 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,4989> to <0,4989>
20230730-113316-0995 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,5330> to <0,5330>
20230730-113316-0996 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,5331> to <0,5332>
20230730-113316-0997 00134 * HandleRequestStateTransfer (replica.cc:753):   [2] Sending state transfer from <0,5333> to <0,5334>
20230730-113316-1088 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5450>
20230730-113316-1089 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5451>
20230730-113316-1089 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5452>
20230730-113316-1124 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5499>
20230730-113316-1125 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5500>
20230730-113316-1286 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5712>
20230730-113316-1288 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,5713>
20230730-113316-1617 00134 * RequestStateTransfer (replica.cc:217):   [2] Requesting state transfer: <0,6146>
