20230730-113324-8212 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2308> to <0,2309>
20230730-113324-8213 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4386 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27126>
20230730-113334-4387 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,27127>
20230730-113334-4398 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27126> to <0,27136>
20230730-113334-4401 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27127> to <0,27137>
20230730-113334-4402 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27129> to <0,27139>
20230730-113334-4407 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,27136> to <0,27142>
20230730-113337-6080 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,34645>
20230730-113337-6081 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9777 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37908>
20230730-113338-9779 00096 * RequestStateTransfer (replica.cc:217):   [1] Requesting state transfer: <0,37910>
20230730-113340-6435 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,42368> to <0,42368>
20230730-113342-9865 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48838> to <0,48839>
20230730-113342-9867 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0694 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57492> to <0,57494>
20230730-113347-0697 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57493> to <0,57499>
20230730-113347-0698 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57495> to <0,57501>
20230730-113347-0700 00096 * HandleRequestStateTransfer (replica.cc:753):   [1] Sending state transfer from <0,57498> to <0,57502>
20230730-113352-1586 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1590 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1601 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1604 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1608 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1614 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1621 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1624 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1625 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1630 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1633 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1642 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1644 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1653 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1654 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1656 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1674 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1701 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1705 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1707 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1710 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1718 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1722 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1733 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1750 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1754 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1760 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1761 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1773 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1777 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1778 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1782 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 103
20230730-113352-1791 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1796 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1800 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1801 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1802 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1807 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1809 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1821 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2030 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2033 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2039 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2049 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2057 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2060 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2064 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2067 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2068 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2072 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2078 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2080 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2080 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2100 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2108 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2129 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2142 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2146 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2149 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2153 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2154 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2157 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2162 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2170 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2173 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-2178 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2181 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2187 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2192 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-2203 00096 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
