20230730-113324-8212 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2308> to <0,2310>
20230730-113324-8214 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,2309> to <0,2310>
20230730-113334-4387 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27128>
20230730-113334-4389 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27129>
20230730-113334-4400 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27126> to <0,27138>
20230730-113334-4403 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27127> to <0,27140>
20230730-113334-4407 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27129> to <0,27142>
20230730-113334-4410 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,27136> to <0,27145>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113337-6081 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,34645> to <0,34645>
20230730-113338-9778 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37908> to <0,37911>
20230730-113338-9779 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,37910> to <0,37911>
20230730-113340-6436 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42368> to <0,42370>
20230730-113342-9866 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48838> to <0,48841>
20230730-113342-9867 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48840> to <0,48841>
20230730-113347-0697 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57492> to <0,57501>
20230730-113347-0700 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57493> to <0,57502>
20230730-113347-0702 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57495> to <0,57503>
20230730-113347-0705 00056 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57498> to <0,57506>
20230730-113352-1369 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1370 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1371 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1377 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1379 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1381 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1383 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1386 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1387 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1401 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1403 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1408 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1410 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1414 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1415 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1418 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1419 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1425 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1426 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1428 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1430 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1435 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1436 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1445 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1446 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1450 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1451 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1452 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1453 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1466 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1468 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1472 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1473 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1480 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1481 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1488 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1490 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1493 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1495 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1498 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1500 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1524 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1526 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1533 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1535 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1539 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1540 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1541 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1543 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1549 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1550 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1562 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1563 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1570 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1571 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1581 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1583 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1584 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1585 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1588 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1589 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1599 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1600 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1602 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1603 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1606 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1607 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1611 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 101
20230730-113352-1613 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1619 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1620 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1621 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1622 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1623 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1624 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1627 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1629 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1630 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1632 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1641 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1642 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1642 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1643 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1650 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1651 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1652 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1653 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1655 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1656 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
20230730-113352-1671 00056 ! Prepare         (lockstore.cc:86):  Lots of prepared transactions! 102
